Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Responses,Explanation,Knowledge Area
"<p>You need to load several hundred GB of data every day from Amazon S3 into Amazon Redshift, which is stored in a single file. You’ve found that loading this data is prohibitively slow. </p><p>Which approach would optimize this loading best?</p>",multiple-choice,"<p>Split the data into files between 1MB and 125MB (after compression,) and specify GZIP compression from multiple COPY commands run concurrently.</p>","<p>Split the data into files between 1MB and 125MB (after compression,) and specify GZIP compression from a single COPY command.</p>",<p>Avoid loading the data in the same order as your sort key.</p>,"<p>Split the data into files between 1GB and 125GB (after compression,) and specify GZIP compression from multiple COPY commands run concurrently.</p>",,,2,"Multiple concurrent COPY commands might sound like a good idea, but in reality it forces Redshift to perform a slow, serialized load followed by a VACUUM process. If you want to load data in parallel, it’s best to split your data into separate files no more than 1GB apiece. Compressing the data also helps. Loading data in the same order as your sort key can also speed up the import process, which is the opposite of “c”.",
"<p>Your company has data from a variety of sources, including Microsoft Excel spreadsheets stored in S3, log data stored in a S3 data lake, and structured data stored in Redshift. </p><p>Which is the simplest solution for providing interactive dashboards that span this data?</p>",multiple-choice,"<p>Create an Excel macro to dump the Excel data to csv files stored in S3, then use Amazon Quicksight to visualize it and the other data sources together.</p>","<p>Use Amazon Quicksight directly on top of the Excel, S3, and Redshift data.</p>",<p>Write Python code in a Jupyter Notebook on an EMR cluster that processes the data and generates graphs.</p>,"<p>Create Excel macros to import the log and Redshift data into Excel, and visualize it all within Excel.</p>",,,2,"The key to this question is remembering that Quicksight can actually consume Excel spreadsheets directly. Knowing that, (b) is clearly the simplest approach.",
<p>You are required to maintain a real-time replica of your Amazon Redshift data warehouse across multiple availability zones. </p><p>What is one approach toward accomplishing this?</p>,multiple-choice,"<p>Snapshot your Redshift data to Amazon S3, where it may be restored from any availability zone.</p>","<p>Spin up separate redshift clusters in multiple availability zones, using Amazon Kinesis to simultaneously write data into each cluster. Use Route 53 to direct your analytics tools to the nearest cluster when querying your data.</p>",<p>Enable the multi-AZ option when creating your Redshift cluster.</p>,"<p>Snapshot your Redshift data to Amazon S3, and copy it to a different availability zone periodically from a Lambda function.</p>",,,2,"Redshift does not come with multi-AZ redundancy, so this is something you must build yourself as described in “b”. As S3 is mutli-AZ, snapshotting your data to S3, which Redshift does do automatically, does provide you with some protection - but it does not satisfy the real-time replication requirement stated in the question.",
"<p>You wish to analyze an S3 data lake using standard SQL. Which solution results in the least amount of ongoing administration from you, as your data grows?</p>",multiple-choice,<p>Amazon Redshift Spectrum</p>,<p>Apache Spark on EMR</p>,<p>Amazon RDS</p>,<p>Amazon Athena</p>,,,4,"Of the above choices, only Amazon Athena is a “serverless” solution that does not require you to provision capacity as your data and usage grows.",
<p>A medical company wants to train a machine learning model to classify biopsy results as benign or malignant using a training data set 200GB in size. </p><p>What are TWO appropriate technologies to use for this purpose?</p>,multi-select,<p>Amazon Machine Learning with a binary classification</p>,<p>Amazon Redshift Spectrum</p>,<p>Apache Spark on EMR with MLLib</p>,<p>Amazon SageMaker</p>,<p>Jupyter Notebook on an EC2 instance</p>,,"3,4","The key here is knowing the scalability limits of each solution. Amazon Machine Learning is limited to 100GB of data, and a notebook on an EC2 instance is limited by the power of that single machine. Both Spark and Sagemaker however can scale without limit.",
"<p>An e-commerce company wishes to assign product categories, such as sporting goods or books, to new products that have no category assigned to them. The company has a large corpus of existing product data with manually assigned categories in place. They wish to use their existing data to predict categories on new products, based on other attributes of the products such as its keywords and seller ID, using Amazon Machine Learning. </p><p>Which type of machine learning model would they use?</p>",multiple-choice,<p>Unary classification model</p>,<p>Multi-class classification model</p>,<p>Binary classification model</p>,<p>Regression model</p>,,,2,"Since you are trying to predict categorical data and there are more than two categories, this is a multi-class classification model. Unary classification isn’t really a thing. Under the hood, Amazon ML would use a logistic regression to implement a classification model.",
"<p>A real-estate listing company wishes to predict the sale price of a house, using historical sales data of similar houses based on attributes such as number of bedrooms, zip code, and square footage. </p><p>Which machine learning model in Amazon Machine Learning would be appropriate for this task?</p>",multiple-choice,<p>Unary classification model</p>,<p>Multi-class classification model</p>,<p>Binary classification model</p>,<p>Regression model</p>,,,4,"As we are trying to predict a number (price of a house) and not a category, this is a regression model and not a classification model.",
"<p>A manager wishes to make a case for hiring more people in her department, by showing that the number of incoming tasks for her department have grown at a faster rate than other departments over the past year. </p><p>Which type of graph in Amazon Quicksight would be best suited to illustrate this data?</p>",multiple-choice,<p>Area line chart</p>,<p>Heat map</p>,<p>Stacked vertical bar chart</p>,<p>A sequence of slides in a QuickSight Story</p>,,,1,"When you’re looking for trends over time, line charts are usually the right choice.",
"<p>A produce export company has multi-dimensional data for all of its shipments, such as the date, price, category, and destination of every shipment. A data analyst wishes to interactively explore this data, applying statistical functions to different rows and columns and sorting them in different ways. </p><p>Which QuickSight visualization would be best suited for this?</p>",multiple-choice,<p>Stacked horizontal bar chart</p>,<p>Scatter plot</p>,<p>Pivot table</p>,<p>Heat map</p>,,,3,"Interactive exploration of multi-dimensional data usually calls for a pivot table, as long as you’re not looking to quickly identify outliers at the same time.",
"<p>A produce export company has multi-dimensional data for all of its shipments, such as the date, price, category, and destination of every shipment. A data analyst wishes to explore this data, with the primary purpose of looking for trends and outliers in the information. </p><p>Which QuickSight visualization would be best suited for this?</p>",multiple-choice,<p>Stacked horizontal bar chart</p>,<p>Scatter plot</p>,<p>Pivot table</p>,<p>Heat map</p>,,,4,You can think of heat maps as pivot tables that highlight outliers and trends using color.,
"<p>A large news website needs to produce personalized recommendations for articles to its readers, by training a machine learning model on a daily basis using historical click data. The influx of this data is fairly constant, except during major elections when traffic to the site spikes considerably. </p><p>Which system would provide the most cost-effective and reliable solution?</p>",multiple-choice,"<p>Publish click data into Amazon S3 using Kinesis Streams, and process the data in real time using Splunk on an EMR cluster with spot instances added as needed. Publish the model’s results to DynamoDB for producing recommendations in real-time.</p>","<p>Publish click data into Amazon S3 using Kinesis Firehose, and process the data nightly using Apache Spark and MLLib using reserved instances in an EMR cluster. Publish the model’s results to DynamoDB for producing recommendations in real-time.</p>","<p>Publish click data into Amazon S3 using Kinesis Firehose, and process the data nightly using Apache Spark and MLLib using spot instances in an EMR cluster. Publish the model’s results to DynamoDB for producing recommendations in real-time.</p>","<p>Publish click data into Amazon Elasticsearch using Kinesis Firehose, and query the Elasticsearch data to produce recommendations in real-time.</p>",,,3,"The use of spot instances in response to anticipated surges in usage is the most cost-effective approach for scaling up an EMR cluster, which rules out (b). Kinesis streams is over-engineering because we do not have a real-time streaming requirement, ruling out (a). (d) doesn't make sense because Elasticsearch is not a recommender engine.",
"<p>An organization has a large body of web server logs stored on Amazon S3, and wishes to quickly analyze their data using Amazon Athena. Most queries are operational in nature, and are limited to a single day’s logs. </p><p>How should the log data be prepared to provide the most performant queries in Athena, and to minimize costs?</p>",multiple-choice,"<p>Compress the log data with gzip, and rotate their directories daily</p>","<p>Convert the data into AVRO format, with filenames that may be sorted by date</p>","<p>Convert the data into Apache Parquet format, compressed with Snappy, stored in a directory structure of year=XXXX/month=XX/day=XX/</p>","<p>Convert the data into Apache ORC format, uncompressed, and rotate their directories daily</p>",,,3,"Athena works best with columnar data; Parquet and ORC are both examples of columnar formats (Gzip and AVRO are not.) Compressing the data will allow them to be transferred more efficiently, and partitioning it using the “partition key=value” format in directory names further allows Athena to process only the data it needs.",
"<p>A financial services company has a large, secure data lake stored in Amazon S3. They wish to analyze this data using a variety of tools, including Apache Hive, Amazon Athena, Amazon Redshift, and Amazon QuickSight. </p><p>How should they connect their data and analysis tools in a way that minimizes costs and development work?</p>",multiple-choice,"<p>Write an Apache Spark script on EMR to transform the S3 data into a Hive database on a nightly basis, connect Redshift to the Hive repository, and connect Athena and QuickSight to Redshift.</p>","<p>Run an AWS Glue Crawler on the data lake to populate a AWS Glue Data Catalog. Share the glue data catalog as a metadata repository between Athena, Redshift, Hive, and QuickSight.</p>","<p>Use the AWS Database Migration Service to load the S3 data into an Amazon Aurora database, and use replication to keep the data in sync. Connect Hive, Athena, Redshift, and QuickSight to the Aurora database.</p>","<p>Write an Apache Spark script on EMR to transform and load the S3 data nightly into Amazon Redshift. Connect Hive, Athena, and Quicksight to the Redshift cluster.</p>",,,2,"AWS Glue crops up a lot on the exam. Knowing that Glue can be used to connect to Athena, Redshift, and Quicksight - as well as being used as a Hive metastore - is key to understanding this question. The other options are unnecessarily complex and require development work that could be avoided with Glue.",
"<p>A company wishes to copy 500GB of data from their Amazon Redshift cluster into an Amazon RDS PostgreSQL database, in order to have both columnar and row-based data stores available. The Redshift cluster will continue to receive large amounts of new data every day that must be kept in sync with the RDS database. </p><p>What strategy would be most efficient?</p>",multiple-choice,"<p>Use a materialized view to cache data between the databases, refreshing it periodically using Amazon Lambda</p>",<p>Copy data using the dblink function into PostgreSQL tables</p>,<p>Use the Amazon Database Migration Service to sync the two databases using replication</p>,<p>Use AWS Glue to allow both databases to share a common metadata store</p>,,,2,"Dblink allows you to offload queries in Redshift to another database entirely. A materialized view could work for this, but it will always copy from the beginning of the table, and not just handle what has changed since the last incremental update. Read through https://amzn.to/2fraaHv if this question confused you.",
<p>A financial services company wishes to back up its encrypted data warehouse in Amazon Redshift daily to a different region. </p><p>What is the simplest solution that preserves encryption in transit and at rest?</p>,multiple-choice,"<p>Configure Redshift to automatically copy snapshots to another region, using an AWS KMS customer master key in the destination region.</p>","<p>Configure a second Redshift cluster in another region, and use a daily COPY command triggered by Lambda to transfer the encrypted data to the other cluster.</p>",<p>Configure Redshift to replicate its data to a standby cluster in another region.</p>,<p>Move the data into S3 and use Amazon Redshift from multiple regions to query it.</p>,,,1,"Note that we said “daily,” which means we don’t need real-time replication. Snapshots will do just fine. “D” is a little bit misleading, as it doesn’t matter where you run Redshift itself from if the data is stored elsewhere - but moving the data isn’t exactly a simple solution.",
<p>An Amazon Elasticsearch domain has been installed within a VPC. </p><p>What are TWO methods which could be employed to securely allow access to Kibana from outside the VPC?</p>,multi-select,<p>Set up an SSH tunnel with port forwarding to allow access on port 5601.</p>,<p>Set up a reverse proxy server between your browser and Amazon Elasticsearch Service.</p>,<p>Use KMS between your browser and Kibana.</p>,<p>Create a security group to allow your IP access to the subnet attached to the VPC on port 443.</p>,<p>Configure an IAM policy to allow your browser to access Kibana.</p>,,"1,2","Kibana runs on port 5601 by default, so opening up port 443 won’t help. IAM doesn’t know about your browser, and KMS does not integrate with Kibana. Only a and b are viable solutions.",
<p>New data arrives in S3 on an irregular schedule that you wish to import into an Amazon Elasticsearch cluster as it is received. The raw data in S3 requires some custom parsing before it is loaded into Elasticsearch. </p><p>Which solution minimizes ongoing maintenance and maximizes scalability?</p>,multiple-choice,<p>Use AWS Glue to connect Elasticsearch directly to your S3 bucket</p>,"<p>Use a Lambda function to respond to event triggers from S3, and stream data from S3 into Elasticsearch as it is received</p>",<p>Use Spark Streaming on an EMR cluster with reserved instances to monitor the S3 bucket and redirect the data to Elasticsearch</p>,<p>Use Kinesis Firehose to pump data from S3 directly into Elasticsearch</p>,,,2,"Glue does not integrate with Elasticsearch, ruling out (a). EMR clusters require manual scaling as your needs evolve, which involves ongoing maintenance we could avoid - so c is also a poor choice. While Firehose can sit between S3 and Elasticsearch, the requirement to perform custom parsing means a Lambda function would be useful - leading us to (b).",
"<p>A review website wishes to perform sentiment analysis on written reviews, using a large-scale recurrent neural network. </p><p>Which TWO EC2 instance types might be appropriate choices for this application?</p>",multi-select,<p>P3</p>,<p>M5</p>,<p>R5</p>,<p>C5</p>,<p>G3</p>,,"1,5","P3 and G3 are both GPU instance types. Deep learning applications such as this benefit from multiple GPU’s, and can scale sub-linearly on these instance types.",
<p>A hospital monitoring sensor data from heart monitors wishes to raise immediate alarms if an anomaly in any individual’s heart rate is detected. </p><p>Which architecture meets these requirements in a scalable manner?</p>,multiple-choice,"<p>Publish sensor data into S3, and use Kinesis Firehose to publish the data into a Spark Streaming application that detects anomalies and raises alarms.</p>","<p>Publish sensor data into S3, and use AWS Glue to query the data using Amazon Redshift Spectrum. Run a periodic script to query the data for anomalies using SQL and raise alarms when needed.</p>","<p>Publish sensor data into a Kinesis data stream, and route the data into a custom application on an EC2 instance that analyzes the data for anomalies and sends out alarms as needed.</p>","<p>Publish sensor data into a Kinesis data stream, and create a Kinesis Data Analytics application using RANDOM_CUT_FOREST to detect anomalies. When an anomaly is detected, use a Lambda function to route an alarm to Amazon SNS.</p>",,,4,"RANDOM_CUT_FOREST is a function in Kinesis Data Analytics intended for anomaly detection. By using serverless services such as Kinesis, Lambda, and SNS we ensure the scalability of this system, and the choice of Kinesis Streams instead of Firehose ensures real-time delivery of the data.",
"<p>A MapReduce job on an EMR cluster needs to process data that is currently stored in very large, compressed files in HDFS, which limits the cluster’s ability to distribute its processing. </p><p>Which TWO solutions would best help the MapReduce job to operate more efficiently?</p>",multi-select,<p>Compress the file with GZIP</p>,<p>Convert the file to AVRO format</p>,<p>Compress the file with Snappy</p>,<p>Uncompress the data and split it into 64MB chunks</p>,<p>Uncompress the data and split it into 64K chunks</p>,,"2,4","AVRO is a format that can easily be split and distributed by MapReduce as needed. Alternately, the data could be split manually into different files - but ideally you’d want these files to be close to the default HDFS chunk size of 64MB in order to make the best use of HDFS.",
<p>You are tasked with using Hive on Elastic MapReduce to analyze data that is currently stored in a large relational database. </p><p>Which approach could meet this requirement?</p>,multiple-choice,<p>Use Apache Sqoop on the EMR cluster to copy the data into HDFS</p>,<p>Use Apache Flume to stream data from the database into HDFS</p>,<p>Use AWS Glue to create a Hive metastore used by your EMR cluster</p>,"<p>Extract the database into csv files in Amazon S3, and point your EMR file system to that S3 bucket</p>",,,1,"Sqoop is an open-source system for transferring data between Hadoop and relational databases. Flume is intended for real-time streaming applications, Glue is intended for use with S3, and you can’t direct EMRFS to arbitrary S3 buckets.",
"<p>A data scientist wishes to develop a machine learning model to predict stock prices using Python in a Jupyter Notebook, and use a cluster on AWS to train and tune this model, and to vend predictions from it at large scale. </p><p>Which system allows you to do this?</p>",multiple-choice,<p>Apache Zeppelin</p>,<p>Amazon SageMaker</p>,<p>Amazon Machine Learning</p>,<p>Amazon Comprehend</p>,,,2,"SageMaker enables developers and data scientists to build, train, and deploy machine learning models at any scale, using hosted Jupyter notebooks. Zeppelin also uses a hosted Jupyter notebook, but does not integrate with AWS to train and tune models. Amazon Machine Learning does not use notebooks, and Amazon Comprehend is a natural language processing tool.",
<p>A real estate company wishes to display interactive charts on their website summarizing their prior month’s sales activity. </p><p>Which TWO solutions would provide this capability in a scalable and inexpensive manner?</p>,multi-select,"<p>Publish data in csv format to Amazon Cloudfront via S3, and use d3.js to visualize the data on the web.</p>","<p>Embed Amazon Quicksight into the website, querying an underlying Redshift data warehouse.</p>",<p>Embed a Jupyter Notebook hosted on EMR into the website.</p>,"<p>Use Tableau to visualize the data on the web, backed by an Amazon Aurora RDS database.</p>","<p>Publish data in csv format to Amazon Cloudfront via S3, and use Highcharts to visualize the data on the web.</p>",,"1,5",Both d3 and Highcharts are Javascript libraries intended for interactive charts and graphs on websites. Quicksight and Tableau are data analysis tools not intended for public deployment.,
"<p>An application processes sensor data in real-time by publishing it to Kinesis Data Streams, which in turn sends data to an AWS Lambda function that processes it and feeds it to DynamoDB. During peak usage periods, it’s been observed that some data is lost. You’ve determined that you have sufficient capacity allocated for Kinesis shards and DynamoDB reads and writes. </p><p>What might be TWO possible solutions to the problem?</p>",multi-select,<p>Allocate more Lambda nodes</p>,<p>Process data in smaller batches to avoid hitting Lambda’s timeout</p>,<p>Increase your Lambda function’s timeout value</p>,<p>Provision more Kinesis shards</p>,<p>Enable replication in Lambda</p>,,"2,3","Lambda is serverless, and you don’t need to concern yourself with how many nodes it might be using under the hood, or how it automatically handles replication and redundancy. However, lambda functions do have a timeout associated with them, and if the processing you’re doing takes longer than this, events will be rejected.",
<p>You wish to use Amazon Redshift Spectrum to analyze data in an Amazon S3 bucket that is in a different account than Redshift Spectrum. </p><p>How would you authorize access between Spectrum and S3 across accounts?</p>,multiple-choice,<p>Create an IAM role allowing access for COPY operations on S3</p>,<p>Create a VPC endpoint to S3 accessible by your Redshift Spectrum</p>,<p>Add a policy to the S3 bucket allowing S3 GET and LIST operations for an IAM role for Spectrum on the Redshift account</p>,<p>Add a policy to the S3 bucket allowing S3 GET and LIST operations for the user agent “AWS Redshift/Spectrum”</p>,,,3,Only “c” specifically addresses the problem of cross-account access to the S3 bucket.,
<p>What are THREE ways in which EMR integrates Pig with Amazon S3?</p>,multi-select,<p>Loading custom JAR files from S3 with the REGISTER command</p>,<p>Submitting work from the EMR console using Pig scripts stored in S3</p>,<p>Integration with AWS Glue to infer schemas on S3 data</p>,<p>Directly writing to HCatalog tables in S3</p>,<p>Importing permissions from S3 buckets for use in your Pig Latin scripts</p>,,"1,2,4","You can configure EMRFS, backed by S3, as your data store in Pig, which allows it to read and write to S3 as it would with HDFS.",
"<p>You wish to train a large convolutional neural network for classifying street sign images from cameras on self-driving cars, using an EMR cluster. </p><p>What are TWO choices of technologies included in EMR clusters that might help you to build this?</p>",multi-select,<p>Mahout</p>,<p>MXNet</p>,<p>Presto</p>,<p>Splunk</p>,<p>Tensorflow</p>,,"2,5","MXNet and Tensorflow are both libraries used for building neural networks, and contain libraries that are helpful in creating convolutional neural networks.",
"<p>Which tool on Amazon Elastic MapReduce allows you to monitor your cluster’s performance as a whole, and at individual nodes?</p>",multiple-choice,<p>Hue</p>,<p>Presto</p>,<p>Ganglia</p>,<p>Ambari</p>,,,3,"Ganglia is the operational dashboard provided with EMR. Hue and Ambari are graphical front-ends for interacting with a cluster, but only Hue is provided with EMR. Presto is used for querying multiple data stores at once.",
<p>What are THREE ways in which EMR optionally integrates HBase with S3?</p>,multi-select,<p>Snapshots of HBase data to S3</p>,<p>AWS Glue integration to infer schemas of S3 data</p>,<p>Storage of HBase StoreFiles and metadata on S3</p>,<p>Automatic backup from HDFS-based StoreFiles to S3</p>,<p>HBase read-replicas on S3</p>,,"1,3,5","EMR allows you use S3 instead of HDFS for HBase’s data via EMRFS. Although you can export snapshots to S3, HBase itself does not automate this for you.",
"<p>You have created a system that recommends items similar to other items on an e-commerce website, by training a recommender system using Mahout on an EMR cluster. </p><p>Which would be a performant means to vend the resulting table of similar items for any given item to the website at high transaction rates?</p>",multiple-choice,<p>Expose the data via Hive and JDBC</p>,<p>Publish the data into HBase</p>,<p>Load the data into Amazon Aurora / RDS and query it from the website</p>,<p>Load the data into a Redshift cluster and query it from the website</p>,,,2,"This is an OLTP use case for which a “NoSQL” database is a good fit. HBase is the only option presented designed for OLTP and not OLAP, plus it has the advantage of already being present in EMR. DynamoDB would also be an appropriate technology to use.",
"<p>You need to ETL streaming data from web server logs as it is streamed in, for analysis in Athena. Upon talking to the stakeholders, you’ve determined that the ETL does not strictly need to happen in real-time, but transforming the data within a minute is desirable. </p><p>What is a viable solution to this requirement?</p>",multiple-choice,"<p>Create an AWS Glue ETL job, and schedule it to run every minute.</p>","<p>Perform any initial ETL you can using Amazon Kinesis, store the data in S3, and trigger a Glue ETL job to complete the transformations needed.</p>","<p>Publish your data into DynamoDB, and use DynamoDB streams together with AWS Glue to perform the ETL.</p>","<p>Perform any initial ETL you can with Kinesis Analytics, and send the output of Kinesis Analytics directly to a Spark Streaming application to handle the remaining transformations.</p>",,,2,"Glue jobs can be scheduled at a minimum of 5 minutes, ruling out “a”. Glue does not integrate directly with DynamoDB, ruling out “c”. Kinesis Analytics cannot connect directly to Spark Streaming, ruling out “d”. “B” is the recommended approach from AWS. An alternative approach would be to use Kinesis Firehose and a Lambda function to transform the data before storing it in S3.",
"<p>Your company wishes to monitor social media, and perform sentiment analysis on Tweets to classify them as positive or negative sentiment. You are able to obtain a data set of past Tweets about your company to use as training data for a machine learning system, but they are not classified as positive or negative.</p><p>How would you build such a system?</p>",multiple-choice,"<p>Use Amazon Mechanical Turk to label past Tweets as positive or negative, and use those labels to train a neural network on an EMR cluster.</p>","<p>Use Amazon Machine Learning with a binary classifier to assign positive or negative sentiments to the past Tweets, and use those labels to train a neural network on an EMR cluster.</p>","<p>Stream both old and new tweets into an Amazon Elasticsearch Service cluster, and use Elasticsearch machine learning to classify the tweets.</p>",<p>Use RANDOM_CUT_FOREST to automatically identify negative tweets as outliers.</p>,,,1,"A machine learning system needs labeled data to train itself with; there’s no getting around that. Only option “a” produces the positive or negative labels we need, by using humans to create that training data initially. Another solution would be to use natural language processing through a service such as Amazon Comprehend, but we don’t expect you to see Comprehend on the exam yet.",
"<p>Your team has developed a Spark Streaming applications that performs real time transformations on an on-premise Apache Kafka cluster and finally delivers the data in real time to S3. As part of a migration to the cloud and switch to Kinesis as an underlying streaming store, what do you recommend?</p>",multiple-choice,"<p>Produce data using Spark Streaming to Kinesis Data Streams, and read the data with Spark Streaming from Kinesis Data Firehose to write it to S3.</p>","<p>Produce data using Spark Streaming to Kinesis Data Streams, and read the data with Spark Streaming from Kinesis Data Streams to write it to S3.</p>",<p>Produce data using Spark Streaming to Kinesis Data Firehose and deliver the data to S3 using Kinesis Data Firehose.</p>,<p>Produce data using Spark Streaming to Kinesis Data Firehose and deliver the data to S3 using Spark Streaming reading from Kinesis Data Streams.</p>,,,2,"Here, the key requirement is the real-time constraint. Kinesis Data Firehose is “near real time” (60 seconds minimum batch size) and thus cannot be used for delivery to S3 in real time. Finally, Spark Streaming can read and write to Kinesis Data Streams only.",
"<p>Your financial organization has hundreds of Terabytes of data stored within its on premise data centers, and data is being produced at the rate of Gigabytes per second, and could be consumed within 3 days. As part of their AWS cloud migration, what solution do you recommend for them?</p>",multiple-choice,<p>Install Direct Connect between your data center and AWS and transfer all the data over a 10Gbps line. Use Kinesis Data Streams for ongoing data collection.</p>,<p>Install Direct Connect between your data center and AWS and transfer all the data over a 10Gbps line. Use Kinesis Data Firehose for ongoing data collection.</p>,<p>Transfer your historical data using Snowball and use Kinesis Data Firehose for ongoing data collection.</p>,<p>Transfer your historical data using Snowball and use Kinesis Data Streams for ongoing data collection.</p>,,,4,"As your organization has hundreds of Terabytes of data, it is going to be much quicker and much more efficient to use Snowball to transport that data to AWS. As the data streams must be stored for at least 3 days, you must use Kinesis Data Streams which has a configurable data retention of between 1 and 7 days.",
